section,offering,utensil,material,decoration,count,number,quantity,measurement,type of substance,position,occasion,personnel,deity,time,day,month,text,additional
3,mutton,,,,1,1,,,meat,,regular offerings,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,first-quality beer,,,,1,1,,,beer,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,drawn wine,,,,1,1,,,wine,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,milk,,,,1,1,,,milk,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,date cakes,,,,1,1,,,confection,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,fine mixed beer,,,,1,1,,,beer,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,labku beer,,,,1,1,,,beer,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,tirimtu cups,tirimtu,,,1,1,,,vessel,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,dannu vat,dannu,,,1,1,,,vessel,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,namharu vat,namharu,,shaped like a raven,1,1,,,vessel,,not specified,baker,Papsukkal; Gushkingbanda,,7,Nisannu,TU 39,
3,guqqu offering,,,,1,1,,,,the room between the curtains,guqqu offering,priest,,,7,Nisannu,TU 39,follow the clothing ceremony
3,siltu food offering,,,,1,1,,,,the room between the curtains,siltu food offering,priest,,,7,Nisannu,TU 39,
3,morning meal,,,,1,2,,,,the room between the curtains,rabu morning,priest,,,7,Nisannu,TU 39,
3,morning meal,,,,1,2,,,,the room between the curtains,tardennu morning,priest,,,7,Nisannu,TU 39,
3,evening meal,,,,1,2,,,,the room between the curtains,rabu evening,priest,,,7,Nisannu,TU 39,
3,evenig meal,,,,1,2,,,,the room between the curtains,tardennu evening,priest,,,7,Nisannu,TU 39,
4,libation,libation bowl,gold,,1,1,,,libation,Grand Courtyard,washing of the hands,priest,Anu,,8,Tashritu,TU 39,
4,meal,dish,gold,,1,1,,,meal,Grand Courtyard,not specified,priest,Anu,,8,Tashritu,TU 39,
4,hot roasted meat,dish,gold,,1,1,,,meat,Grand Courtyard,not specified,priest,Anu,,8,Tashritu,TU 39,
4,meal,dish,gold,,1,1,,,meal,Grand Courtyard,not specified,priest,The other gods in the Grand Courtyard,,8,Tashritu,TU 39,
4,hot roasted meat,dish,gold,,1,1,,,meat,Grand Courtyard,not specified,priest,The other gods in the Grand Courtyard,,8,Tashritu,TU 39,
4,libation,libation bowl,gold,,1,1,,,libation,Egubiduga,not specified,temple enterer,Papsukkal,,8,Tashritu,TU 39,
4,heart of an ox,,,,1,1,,,meat,room between the curtains,merditu offering,priest,Anu,,8,Tashritu,TU 39,
4,head of a sheep,,,,1,1,,,meat,room between the curtains,merditu offering,priest,Anu,,8,Tashritu,TU 39,
4,mashatu flour,malitu bowl,gold,,1,1,,,flour,room between the curtains,merditu offering,priest,Anu,,8,Tashritu,TU 39,upturned over the heart of an ox
4,wine,libation bowl,,,1,1,,,wine,room between the curtains,merditu offering,priest,Anu,,8,Tashritu,TU 39,made on head of the sheep
4,libation,libation bowl,gold,,1,1,,,libation,room between the curtains,merditu offering,priest,Anu,,8,Tashritu,TU 39,"tablet damaged, reading unclear"
1,libation,libation bowl,gold,,1,1,,,libation,,not specified,king,Anu,,9,Tashritu,TU 40,
1,sheep,,,,1,1,,,meat,,not specified,priest,Anu,,9,Tashritu,TU 40,"""its rites for the eight day ditto"""
1,libation,libation bowl,gold,,1,1,,,libation,,not specified,king,Anu,,9,Tashritu,TU 40,
2,heart of an ox,,,,1,1,,,meat,room between the curtains,merditu offering,priest,Anu,,9,Tashritu,TU 40,"""for the eighth day ditto"""
2,head of a sheep,,,,1,1,,,meat,room between the curtains,merditu offering,priest,Anu,,9,Tashritu,TU 40,"""for the eighth day ditto"""
2,mashatu flour,malitu bowl,gold,,1,1,,,flour,room between the curtains,merditu offering,priest,Anu,,9,Tashritu,TU 40,upturned over the heart of an ox
2,wine,libation bowl,,,1,1,,,wine,room between the curtains,merditu offering,priest,Anu,,9,Tashritu,TU 40,made on head of the sheep
2,libation,libation bowl,gold,,1,1,,,libation,room between the curtains,not specified,king,Anu,,9,Tashritu,TU 40,
2,libation,libation bowl,gold,,1,1,,,libation,beside the Dais of Kingship,not specified,king,Anu,,9,Tashritu,TU 40,
2,libation,libation bowl,gold,,1,1,,,libation,,not specified,king,Enlil; Ea; Nusku; Kusu; Usmu,,9,Tashritu,TU 40,
2,libation,libation bowl,gold,,1,1,,,libation,,not specified,king,,,9,Tashritu,TU 40,
5,evening meal,,,,1,1,,,assemblage,,tardennu evening,,,,9,Tashritu,TU 39,
5,ox,,,,1,1,,,meat,,not specified,priest,,,9,Tashritu,TU 39,
5,sheep,,,,1,1,,,meat,,not specified,priest,,,9,Tashritu,TU 39,
5,evening meal,,,,1,1,,,assemblage,,tardennu evening,priest,,,10,Tashritu,TU 39,
6,morning meal,,,,1,1,,,assemblage,,rabu morning,priest,,,10,Tashritu,TU 39,
6,morning meal,,,,1,1,,,assemblage,,tardennu morning,priest,,,10,Tashritu,TU 39,
6,evening meal,,,,1,1,,,assemblage,,rabu evening,priest,,,10,Tashritu,TU 39,
7,morning meal,,,,1,1,,,assemblage,,rabu morning,priest,Anu; Antu; the other gods,,11,Tashritu,TU 39,"""the other gods"" doesn't include Ninsun and Lugalbanda"
7,libation,libation bowl,gold,,1,1,,,libation,,not specified,king,Lugalbanda; Ninsun; the other gods,,11,Tashritu,TU 39,
7,evening meal,,,,1,1,,,assemblage,,rabu evening,priest,,,11,Tashritu,TU 39,
7,evening meal,,,,1,1,,,assemblage,,tardennu evening,priest,,,11,Tashritu,TU 39,
1,libation,bowl,gold,,1,1,,,libation,,procession to the temple,king,Antu,,,Nisannu,KAR 132,
3,libation,bowl,gold,,1,1,,,libation,before Anu,procession to the temple,king,Anu,,,Nisannu,KAR 132,
4,libation,bowl,gold,,1,1,,,libation,before Anu,procession to the temple,king,Anu,,,Nisannu,KAR 132,
4,libation,bowl,gold,,1,1,,,libation,,procession to the temple,king,Anu; Antu,,,Nisannu,KAR 132,
9,thigh piece,,,,1,1,,,meat,,preparation of figurines,metalworker; high priest of the Etusha,Bel,,3,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,breast,,,,1,1,,,meat,,preparation of figurines,goldsmith; high priest of the Etusha,Bel,,3,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,shoulder piece,,,,1,1,,,meat,,preparation of figurines,carpenter; high priest of the Etusha,Bel,,3,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,ribs,,,,1,"plural, unspecified",,,meat,,preparation of figurines,weaver; high priest of the Etusha,Bel,,3,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,thigh piece,,,,1,1,,,meat,,preparation of figurines,metalworker; high priest of the Etusha,Bel,,4,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,breast,,,,1,1,,,meat,,preparation of figurines,goldsmith; high priest of the Etusha,Bel,,4,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,shoulder piece,,,,1,1,,,meat,,preparation of figurines,carpenter; high priest of the Etusha,Bel,,4,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,ribs,,,,1,"plural, unspecified",,,meat,,preparation of figurines,weaver; high priest of the Etusha,Bel,,4,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,thigh piece,,,,1,1,,,meat,,preparation of figurines,metalworker; high priest of the Etusha,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,breast,,,,1,1,,,meat,,preparation of figurines,goldsmith; high priest of the Etusha,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,shoulder piece,,,,1,1,,,meat,,preparation of figurines,carpenter; high priest of the Etusha,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,ribs,,,,1,"plural, unspecified",,,meat,,preparation of figurines,weaver; high priest of the Etusha,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,thigh piece,,,,1,1,,,meat,,preparation of figurines,metalworker; high priest of the Etusha,Bel,,6,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,breast,,,,1,1,,,meat,,preparation of figurines,goldsmith; high priest of the Etusha,Bel,,6,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,shoulder piece,,,,1,1,,,meat,,preparation of figurines,carpenter; high priest of the Etusha,Bel,,6,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
9,ribs,,,,1,"plural, unspecified",,,meat,,preparation of figurines,weaver; high priest of the Etusha,Bel,,6,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Bel and presented to personnel
10,leftovers,,,,1,"plural, unspecified",,,food (unspecified),,preparation of figurines,priest,figurines,,6,Nisannu,R.Acc 127-154 +BM 32485,taken from offering table of Madanu and served to figurines
25,roasted meat,,,,1,1,,,meat,golden offering table,not specified,high priest,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,
25,regular offerings,,,,1,12,,,assemblage,golden offering table,not specified,high priest,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,
25,salt,...,gold,,1,1,,,salt,golden offering table,not specified,high priest,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,
25,honey,...,gold,,1,1,,,honey,golden offering table,not specified,high priest,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,
25,wine,,,,1,1,,,wine,before Bel,not specified,high priest,Bel,,5,Nisannu,R.Acc 127-154 +BM 32485,
26,honey,,,,1,1,,,honey,over reed bundle in the hole in the Grand Courtyard,not specified,high priest; king,,,5,Nisannu,R.Acc 127-154 +BM 32485,
26,ghee,,,,1,1,,,ghee,over reed bundle in the hole in the Grand Courtyard,not specified,high priest; king,,,5,Nisannu,R.Acc 127-154 +BM 32485,
26,fine oil,,,,1,1,,,oil,over reed bundle in the hole in the Grand Courtyard,not specified,high priest; king,,,5,Nisannu,R.Acc 127-154 +BM 32485,
26,white bull,,,,1,1,,,livestock,before hole in the Grand Courtyard,not specified,high priest; king,,,5,Nisannu,R.Acc 127-154 +BM 32485,
1,meal,dish,gold,,1,1,,,assemblage,,unspecified,king,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
1,hot roasted meat,dish,gold,,1,1,,,meat,,unspecified,king,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
1,meal,dish,gold,,1,1,,,assemblage,,unspecified,king,Nanaja; Belet-sha-Resh,,,,TU 42 + AO 8648 + AO 8649,
1,hot roasted meat,dish,gold,,1,1,,,meat,,unspecified,king,Nanaja; Belet-sha-Resh,,,,TU 42 + AO 8648 + AO 8649,
1,meal,dish,gold,,1,1,,,assemblage,,unspecified,king,all the gods who are in the courtyard,,,,TU 42 + AO 8648 + AO 8649,"""From before Ishtar"""
1,hot roasted meat,dish,gold,,1,1,,,meat,,unspecified,king,all the gods who are in the courtyard,,,,TU 42 + AO 8648 + AO 8649,"""From before Ishtar"""
1,meal,dish,gold,,1,1,,,assemblage,,unspecified,king,all the goddesses who are in the courtyard,,,,TU 42 + AO 8648 + AO 8649,"""From before ..."""
1,hot roasted meat,dish,gold,,1,1,,,meat,,unspecified,king,all the goddesses who are in the courtyard,,,,TU 42 + AO 8648 + AO 8649,"""From before ..."""
1,libation,libation bowl,gold,,1,1,,,libation,,unspecified,king,Nanaja; Belet-sha-Resh,,,,TU 42 + AO 8648 + AO 8649,
1,ox,,,,1,1,,,livestock,place where the god is made to accept the offering,merditu offering,priest,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
1,sheep,,,,1,1,,,livestock,place where the god is made to accept the offering,merditu offering,priest,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
1,heart of an ox,,,,1,1,,,meat,on the head of sheep ,merditu offering,priest,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
1,head of a sheep,,,,1,1,,,meat,place where the god is made to accept the offering,merditu offering,priest,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
1,mashatu flour,malitu bowl,gold,,1,1,,,flour,on the heart of the ox,merditu offering,priest,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
1,libation ,libation bowl,gold,,1,1,,,libation,on the head of the sheep,merditu offering,priest,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
1,libation,libation bowl,gold,,1,1,,,libation,,unspecified,king,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
2,libation,libation bowl,gold,,1,1,,,libation,,unspecified,priest,Ishtar,,,,TU 42 + AO 8648 + AO 8649,
2,water,kappu bowl,,,1,"plural, unspecified",,,water,,unspecified,exorcist,Ishtar; all the other gods,,,,TU 42 + AO 8648 + AO 8649,libation is made repeatedly 
1,wine mixed with good oil,,,,1,1,,,libation,"on the gate of the cella of Anu, Antu, and the other gods",unspecified,priest,Anu; Antu; the other gods,,16,Tebetu,TU 41,
1,ox,,,,1,1,,,livestock,"cella of Anu, Antu and the other gods",unspecified,priest,Anu; Antu; the other gods,,16,Tebetu,TU 41,
1,sheep,,,,1,1,,,livestock,"cella of Anu, Antu and the other gods",unspecified,priest,Anu; Antu; the other gods,,16,Tebetu,TU 41,
1,meal,,,,1,1,,,assemblage,,rabu evening,priest,Anu; Antu; the other gods,,16,Tebetu,TU 41,not cleared away
1,meal,,,,1,1,,,assemblage,,tardennu evening,priest,all the gods who are in the courtyard,,16,Tebetu,TU 41,
1,beef,,,,1,1,,,meat,golden offering table,first watch of the night,priest,Anu; Antu,,16,Tebetu,TU 41,
1,mutton,,,,1,1,,,meat,golden offering table,first watch of the night,priest,Anu; Antu,,16,Tebetu,TU 41,
1,fowl,,,,1,1,,,bird,golden offering table,first watch of the night,priest,Anu; Antu,,16,Tebetu,TU 41,
1,fine beer,,,,1,1,,,beer,golden offering table,first watch of the night,priest,Anu; Antu,,16,Tebetu,TU 41,
1,drawn wine,,,,1,1,,,wine,golden offering table,first watch of the night,priest,Anu; Antu,,16,Tebetu,TU 41,
1,garden fruits,,,,1,"plural, unspecified",,,fruit,golden offering table,first watch of the night,priest,Anu; Antu,,16,Tebetu,TU 41,in abundance
1,drawn wine,libation bowl,gold,,1,1,,,libation,golden offering table,first watch of the night,priest,Anu; Antu,,16,Tebetu,TU 41,
1,beef,,,,1,1,,,meat,golden offering table,appearance of the celestial bodies,priest,Jupiter; Venus; Mercury; Saturn; Mars; Moon; Sun,,16,Tebetu,TU 41,
1,mutton,,,,1,1,,,meat,golden offering table,appearance of the celestial bodies,priest,Jupiter; Venus; Mercury; Saturn; Mars; Moon; Sun,,16,Tebetu,TU 41,
1,fowl,,,,1,1,,,bird,golden offering table,appearance of the celestial bodies,priest,Jupiter; Venus; Mercury; Saturn; Mars; Moon; Sun,,16,Tebetu,TU 41,
1,fine beer,,,,1,1,,,beer,golden offering table,appearance of the celestial bodies,priest,Jupiter; Venus; Mercury; Saturn; Mars; Moon; Sun,,16,Tebetu,TU 41,
1,drawn wine,,,,1,1,,,wine,golden offering table,appearance of the celestial bodies,priest,Jupiter; Venus; Mercury; Saturn; Mars; Moon; Sun,,16,Tebetu,TU 41,
1,garden fruits,,,,1,"plural, unspecified",,,fruit,golden offering table,appearance of the celestial bodies,priest,Jupiter; Venus; Mercury; Saturn; Mars; Moon; Sun,,16,Tebetu,TU 41,in abundance
1,drawn wine,libation bowl,gold,,1,1,,,libation,golden offering table,appearance of the celestial bodies,priest,Jupiter; Venus; Mercury; Saturn; Mars; Moon; Sun,,16,Tebetu,TU 41,
2,ox,,,,1,1,,,livestock,near the Dais of Destinies,unspecified,priest,Anu; Antu; Papsukkal; Nusku; Usmu; Messagunug,,16,Tebetu,TU 41,slaughtered in the temple
2,offerings (unspecified),,,,1,"plural, unspecified",,,assemblage,in the homes of the people of the land,offerings for the banquet,people of the land,Anu; Antu; the other gods,,16,Tebetu,TU 41,
3,meal,,,,1,1,,,assemblage,,rabu morning,priest,Anu; Antu; the other gods,,17,Tebetu,TU 41,
3,meal,,,,1,1,,,assemblage,,tardennu morning,priest,Anu; Antu; the other gods,,17,Tebetu,TU 41,
3,ox,,,,1,1,,,livestock,,unspecified,priest,Anu; Antu; the other gods,,17,Tebetu,TU 41,
3,sheep,,,,1,1,,,livestock,,unspecified,priest,Anu; Antu; the other gods,,17,Tebetu,TU 41,
3,ox,,,,1,1,,,livestock,,unspecified,priest,Adad; Sin; Shamash; Messagunung; Belet-ili,,17,Tebetu,TU 41,
3,sheep,,,,1,1,,,livestock,,unspecified,priest,Adad; Sin; Shamash; Messagunung; Belet-ili,,17,Tebetu,TU 41,
1,serqu offering,,,,1,1,,,assemblage,,,priest,the great gods,,favorable day,auspicious month ,TU 44,
1,first quality beer,,,,1,1,,,beer,,,priest,the great gods,,favorable day,auspicious month ,TU 44,
1,barley bread,,,,1,7,,,bread,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,emmer bread,,,,1,7,,,bread,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,barley bread,,,,1,7,,,bread,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,emmer bread,,,,1,7,,,bread,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,mirsu cake,,,,1,1,,,confection,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,"made with honey, ghee, dates, and sisqu flour"
1,shoulder,,,,1,1,,,meat,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,part of the innards
1,himsu omentum,,,,1,1,,,meat,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,roasted meat,,,,1,1,,,meat,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,first quality beer,,,,1,1,,,beer,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,wine,,,,1,1,,,wine,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,milk,,,,1,1,,,milk,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
2,sheep,,,,1,12,,,livestock,,,priest,twelve gods,,favorable day,auspicious month ,TU 44,
2,shoulder,,,,1,1,,,meat,,,priest,twelve gods,,favorable day,auspicious month ,TU 44,
2,himsu omentum,,,,1,1,,,meat,,,priest,twelve gods,,favorable day,auspicious month ,TU 44,
2,beer,,,,1,1,,,beer,,,priest,twelve gods,,favorable day,auspicious month ,TU 44,
2,wine,,,,1,1,,,wine,,,priest,twelve gods,,favorable day,auspicious month ,TU 44,
2,milk,,,,1,1,,,milk,,,priest,twelve gods,,favorable day,auspicious month ,TU 44,
2,sheep,,,,1,1,,,livestock,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,shoulder,,,,1,1,,,meat,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,himsu omentum,,,,1,1,,,meat,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,roasted meat,,,,1,1,,,meat,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,first quality beer,,,,1,1,,,beer,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,wine,,,,1,1,,,wine,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,milk,,,,1,1,,,milk,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,sheep,,,,1,1,,,livestock,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,shoulder,,,,1,1,,,meat,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,himsu omentum,,,,1,1,,,meat,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,roasted meat,,,,1,1,,,meat,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,first quality beer,,,,1,1,,,beer,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,wine,,,,1,1,,,wine,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
2,milk,,,,1,1,,,milk,,,priest,Lumha,,favorable day,auspicious month ,TU 44,
6,sheep,,,,1,1,,,livestock,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,,favorable day,auspicious month ,TU 44,
6,shoulder,,,,1,1,,,meat,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,,favorable day,auspicious month ,TU 44,
6,himsu omentum,,,,1,1,,,meat,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,,favorable day,auspicious month ,TU 44,
6,roasted meat,,,,1,1,,,meat,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,,favorable day,auspicious month ,TU 44,
6,first quality beer,,,,1,1,,,beer,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,,favorable day,auspicious month ,TU 44,
6,wine,,,,1,1,,,wine,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,,favorable day,auspicious month ,TU 44,
6,milk,,,,1,1,,,milk,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,,favorable day,auspicious month ,TU 44,
9,regular offering,,,,1,1,,,assemblage,,,priest,[text damaged],,favorable day,auspicious month ,TU 44,
1,barley loaf,,,,1,7,,,bread,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,emmer loaf,,,,1,7,,,bread,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,mirsu cake,,,,1,1,,,confection,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,"made with honey, ghee, dates and sasqu flour"
1,beer,,,,1,1,,,beer,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,wine,,,,1,1,,,wine,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,sheep offering,,,,1,12,,,livestock,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,shoulder,,,,1,1,,,meat,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,himsu omentum,,,,1,1,,,meat,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,roasted meat,,,,1,1,,,meat,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,barley malt,,,,1,"plural, unspecified",,,flour,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,emmer malt,,,,1,"plural, unspecified",,,flour,,,priest,twelve gods,,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
2,first quality beer,,,,1,1,,,beer,,,priest,bull(?),,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
2,beer,,,,1,1,,,beer,,,priest,bull(?),,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,sheep,,,,1,1,,,livestock,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,shoulder,,,,1,1,,,meat,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,himsu omentum,,,,1,1,,,meat,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,roasted meat,,,,1,1,,,meat,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,beer,,,,1,1,,,beer,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,wine,,,,1,1,,,wine,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,milk,,,,1,1,,,milk,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,sheep,,,,1,1,,,livestock,,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,beer,,,,1,1,,,beer,,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,wine,,,,1,1,,,wine,,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,milk,,,,1,1,,,milk,,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,mirsu confection,,,,1,1,,,confection,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,"made with honey, ghee, dates, sasqu flour, and pressed oil"
1,first quality beer,adakurru continer,,,1,1,,,beer,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,wine,adakurru continer,,,1,1,,,wine,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,milk,adakurru continer,,,1,1,,,milk,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,sheep ,,,,1,3,,,livestock,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
